Player,Team,Matchup,Proj Min,Exp Pts,Exp 3P,Exp Reb,Exp Ast,Exp Stl,Exp Blk,Exp TO,Exp PRA
Sion James,CHA,CHA@CLE,22.45,5.7,1.0,3.0,1.1,0.6,0.4,0.8,9.8
Mason Plumlee,CHA,CHA@CLE,21.32,3.8,0.0,7.1,2.3,0.7,0.6,1.4,13.2
Tre Mann,CHA,CHA@CLE,17.49,9.1,1.5,2.2,2.2,0.6,0.1,1.4,13.6
Tidjane Salaun,CHA,CHA@CLE,13.36,4.9,0.8,3.2,0.7,0.4,0.2,0.7,8.8
Josh Green,CHA,CHA@CLE,13.31,3.3,0.5,1.3,0.7,0.6,0.1,0.7,5.4
KJ Simpson,CHA,CHA@CLE,1.15,0.5,0.1,0.2,0.1,0.1,0.0,0.1,0.8
Pat Connaughton,CHA,CHA@CLE,1.15,0.4,0.1,0.2,0.1,0.0,0.0,0.1,0.7
Collin Sexton,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Reeves,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Williams,CHA,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Mitchell,CLE,CHA@CLE,34.17,31.0,4.4,4.9,5.3,1.3,0.2,2.9,41.2
Darius Garland,CLE,CHA@CLE,32.95,20.2,2.7,3.4,7.2,1.1,0.2,2.4,30.8
Jaylon Tyson,CLE,CHA@CLE,30.73,14.0,1.8,6.7,2.1,1.0,0.6,1.5,22.7
Jarrett Allen,CLE,CHA@CLE,27.75,15.3,0.0,8.9,2.0,1.0,0.9,1.8,26.3
De'Andre Hunter,CLE,CHA@CLE,25.73,14.0,2.1,4.2,1.5,0.6,0.2,1.4,19.6
Dean Wade,CLE,CHA@CLE,24.62,5.5,1.1,4.7,1.8,0.9,0.5,0.9,12.1
Lonzo Ball,CLE,CHA@CLE,23.26,6.5,1.6,4.5,4.2,1.4,0.4,1.5,15.2
Sam Merrill,CLE,CHA@CLE,19.05,8.8,2.3,1.9,1.6,0.6,0.2,1.0,12.3
Nae'Qwan Tomlin,CLE,CHA@CLE,9.94,4.2,0.4,2.4,0.4,0.3,0.3,0.4,7.0
Thomas Bryant,CLE,CHA@CLE,6.03,2.8,0.3,1.9,0.3,0.2,0.2,0.3,4.9
Craig Porter Jr.,CLE,CHA@CLE,6.00,1.8,0.2,1.0,0.9,0.3,0.2,0.4,3.7
Tyrese Proctor,CLE,CHA@CLE,1.15,0.5,0.1,0.1,0.1,0.0,0.0,0.1,0.8
Luke Travers,CLE,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Strus,CLE,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Mobley,CLE,CHA@CLE,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Flagg,DAL,DAL@NOP,35.08,19.0,0.9,6.2,4.0,1.3,1.0,2.2,29.1
PJ Washington,DAL,DAL@NOP,32.53,15.7,1.6,7.6,2.2,1.1,1.5,2.8,25.4
Anthony Davis,DAL,DAL@NOP,32.36,22.7,0.6,11.3,3.3,1.2,2.2,2.1,37.3
Naji Marshall,DAL,DAL@NOP,31.78,13.6,1.0,5.2,2.8,1.3,0.2,1.6,21.6
Ryan Nembhard,DAL,DAL@NOP,23.87,10.1,1.5,2.2,6.1,0.6,0.1,1.5,18.3
Brandon Williams,DAL,DAL@NOP,22.63,10.9,0.8,2.5,4.4,1.2,0.3,1.9,17.9
Klay Thompson,DAL,DAL@NOP,19.29,9.9,2.3,2.2,1.3,0.4,0.3,1.1,13.4
Max Christie,DAL,DAL@NOP,18.24,6.5,1.3,2.1,1.1,0.3,0.3,1.0,9.7
Daniel Gafford,DAL,DAL@NOP,15.46,6.5,0.0,4.3,1.0,0.4,1.4,1.0,11.8
D'Angelo Russell,DAL,DAL@NOP,8.14,4.6,0.6,0.9,1.7,0.3,0.1,0.7,7.2
Jaden Hardy,DAL,DAL@NOP,0.76,0.4,0.1,0.1,0.0,0.0,0.0,0.1,0.5
Caleb Martin,DAL,DAL@NOP,0.76,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.3
Dwight Powell,DAL,DAL@NOP,0.76,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.3
Miles Kelly,DAL,DAL@NOP,0.76,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.3
Moussa Cisse,DAL,DAL@NOP,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Johnson,DEN,UTA@DEN,34.82,15.1,2.2,4.6,2.7,0.8,0.4,1.9,22.5
Nikola Jokic,DEN,UTA@DEN,34.42,33.3,2.4,12.6,10.3,1.4,0.7,3.8,56.2
Jamal Murray,DEN,UTA@DEN,33.81,27.0,3.4,4.3,6.7,1.1,0.3,2.6,38.0
Peyton Watson,DEN,UTA@DEN,26.82,11.9,1.3,4.8,1.7,0.9,1.3,1.8,18.5
Tim Hardaway Jr.,DEN,UTA@DEN,26.34,12.7,2.4,2.3,1.5,0.6,0.1,1.0,16.4
Spencer Jones,DEN,UTA@DEN,25.85,7.6,1.1,3.4,1.1,0.9,0.5,0.9,12.0
Bruce Brown,DEN,UTA@DEN,25.26,7.9,0.6,4.5,2.4,1.0,0.3,1.5,14.8
Jalen Pickett,DEN,UTA@DEN,13.42,4.6,0.9,1.7,2.3,0.4,0.1,0.8,8.6
Jonas Valanciunas,DEN,UTA@DEN,13.12,9.8,0.1,5.0,1.3,0.3,0.5,1.1,16.2
Zeke Nnaji,DEN,UTA@DEN,2.93,0.8,0.1,0.5,0.1,0.1,0.1,0.2,1.4
Julian Strawther,DEN,UTA@DEN,2.50,1.3,0.2,0.3,0.2,0.1,0.0,0.2,1.8
Hunter Tyson,DEN,UTA@DEN,1.56,0.6,0.1,0.4,0.1,0.0,0.0,0.1,1.1
Christian Braun,DEN,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Gordon,DEN,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaRon Holmes II,DEN,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cade Cunningham,DET,DET@POR,36.08,27.4,2.6,6.1,8.9,1.5,0.9,3.8,42.5
Jalen Duren,DET,DET@POR,29.55,17.7,0.0,11.2,1.8,0.9,1.1,2.6,30.6
Tobias Harris,DET,DET@POR,28.27,13.3,1.4,5.0,2.2,0.8,0.6,1.5,20.6
Duncan Robinson,DET,DET@POR,25.86,9.8,2.4,2.5,1.8,0.8,0.2,1.2,14.1
Ausar Thompson,DET,DET@POR,25.22,11.3,0.1,5.5,2.6,1.4,0.8,1.7,19.4
Isaiah Stewart,DET,DET@POR,21.94,9.3,0.8,6.0,1.3,0.4,2.0,1.5,16.6
Caris LeVert,DET,DET@POR,20.45,9.1,1.2,2.1,2.8,0.8,0.5,1.5,13.9
Ronald Holland II,DET,DET@POR,17.32,6.6,0.5,3.0,1.1,1.0,0.2,1.1,10.7
Jaden Ivey,DET,DET@POR,15.96,8.6,1.3,2.3,1.7,0.6,0.2,1.1,12.6
Javonte Green,DET,DET@POR,13.76,4.5,0.6,2.1,0.6,0.9,0.3,0.8,7.2
Daniss Jenkins,DET,DET@POR,5.34,2.3,0.3,0.6,0.9,0.2,0.0,0.4,3.7
Marcus Sasser,DET,DET@POR,1.01,0.4,0.1,0.1,0.2,0.0,0.0,0.1,0.7
Paul Reed,DET,DET@POR,1.01,0.5,0.0,0.3,0.1,0.1,0.1,0.1,0.9
Chaz Lanier,DET,DET@POR,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bobi Klintman,DET,DET@POR,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jimmy Butler,GSW,ORL@GSW,33.66,18.9,0.6,5.9,5.1,1.7,0.3,1.8,29.8
Stephen Curry,GSW,ORL@GSW,32.97,29.7,5.5,4.5,3.5,1.4,0.5,2.8,37.7
Draymond Green,GSW,ORL@GSW,28.62,9.4,1.6,6.3,4.6,1.0,1.1,3.3,20.3
Brandin Podziemski,GSW,ORL@GSW,27.08,11.2,1.7,4.6,3.1,1.2,0.2,1.7,18.9
Quinten Post,GSW,ORL@GSW,24.03,10.4,2.1,5.4,1.8,0.7,0.8,1.4,17.6
Moses Moody,GSW,ORL@GSW,22.85,9.8,1.9,2.9,1.4,0.9,0.6,1.2,14.1
De'Anthony Melton,GSW,ORL@GSW,17.31,7.8,1.0,2.2,1.8,1.2,0.3,1.2,11.8
Trayce Jackson-Davis,GSW,ORL@GSW,14.06,3.8,0.0,4.2,1.2,0.3,0.7,0.8,9.1
Will Richard,GSW,ORL@GSW,10.88,3.9,0.7,1.5,0.8,0.4,0.0,0.4,6.2
Gary Payton II,GSW,ORL@GSW,9.16,3.3,0.3,2.1,1.0,0.5,0.2,0.5,6.4
Pat Spencer,GSW,ORL@GSW,8.76,3.8,0.3,1.4,1.6,0.4,0.1,0.5,6.8
Gui Santos,GSW,ORL@GSW,5.84,2.1,0.4,1.3,0.5,0.2,0.1,0.5,3.9
Jonathan Kuminga,GSW,ORL@GSW,5.74,2.9,0.2,1.3,0.1,0.1,0.1,0.5,4.4
L.J. Cryer,GSW,ORL@GSW,0.88,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.3
Buddy Hield,GSW,ORL@GSW,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Siakam,IND,IND@BOS,32.98,22.6,1.7,7.1,3.5,1.2,0.4,2.1,33.2
Andrew Nembhard,IND,IND@BOS,32.27,17.1,1.5,3.0,6.8,0.9,0.1,2.3,26.9
Bennedict Mathurin,IND,IND@BOS,31.73,17.9,2.6,6.0,2.1,0.7,0.3,2.5,26.0
Jay Huff,IND,IND@BOS,23.17,9.5,1.9,4.7,1.7,0.4,2.0,1.2,15.9
Quenton Jackson,IND,IND@BOS,21.44,8.4,0.9,3.2,2.6,1.1,0.2,0.8,14.2
Jarace Walker,IND,IND@BOS,19.39,7.0,1.2,4.0,1.3,0.4,0.3,1.4,12.2
Ethan Thompson,IND,IND@BOS,17.10,4.0,0.9,1.8,1.4,0.5,0.2,0.4,7.2
Isaiah Jackson,IND,IND@BOS,16.35,6.1,0.0,5.6,0.8,0.6,0.8,0.9,12.5
Johnny Furphy,IND,IND@BOS,15.42,4.0,0.6,3.0,0.5,0.6,0.2,0.5,7.5
Garrison Mathews,IND,IND@BOS,13.98,4.3,0.9,1.5,0.8,0.4,0.2,0.7,6.5
James Wiseman,IND,IND@BOS,13.06,5.2,0.0,4.0,0.5,0.1,0.4,0.8,9.7
Taelon Peter,IND,IND@BOS,1.39,0.4,0.1,0.2,0.1,0.0,0.0,0.1,0.7
Kam Jones,IND,IND@BOS,1.39,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.5
Tony Bradley,IND,IND@BOS,1.39,0.5,0.0,0.4,0.1,0.0,0.0,0.1,1.0
T.J. McConnell,IND,IND@BOS,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Spencer,MEM,MEM@OKC,32.27,15.0,3.0,3.7,6.4,1.1,0.1,1.9,25.2
Santi Aldama,MEM,MEM@OKC,31.12,14.7,1.6,8.1,3.2,1.0,0.6,1.8,26.1
Jaren Jackson Jr.,MEM,MEM@OKC,30.30,18.4,1.5,6.1,2.4,1.0,1.2,2.6,27.0
Jaylen Wells,MEM,MEM@OKC,29.65,12.9,1.7,4.4,1.9,0.9,0.0,1.5,19.2
Cedric Coward,MEM,MEM@OKC,27.77,13.0,1.5,6.7,3.0,0.5,0.3,1.8,22.7
Kentavious Caldwell-Pope,MEM,MEM@OKC,24.90,8.4,1.3,2.7,3.5,0.9,0.2,1.8,14.6
Jock Landale,MEM,MEM@OKC,24.44,11.2,1.1,7.1,2.1,0.6,0.5,1.8,20.3
Olivier-Maxence Prosper,MEM,MEM@OKC,18.37,6.2,0.4,4.6,1.8,0.7,0.2,0.9,12.6
Gregory Jackson,MEM,MEM@OKC,9.55,4.9,0.4,2.3,0.5,0.3,0.1,0.8,7.6
Jahmai Mashack,MEM,MEM@OKC,9.55,2.6,0.0,1.2,0.5,0.2,0.1,0.2,4.4
Christian Koloko,MEM,MEM@OKC,2.70,0.7,0.1,0.8,0.1,0.1,0.1,0.1,1.7
Ja Morant,MEM,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ty Jerome,MEM,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Javon Small,MEM,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotty Pippen Jr.,MEM,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trey Murphy III,NOP,DAL@NOP,34.38,19.5,1.9,6.2,3.3,1.6,0.5,2.2,29.1
Saddiq Bey,NOP,DAL@NOP,27.83,12.8,1.2,6.1,1.8,1.0,0.1,1.1,20.8
Derik Queen,NOP,DAL@NOP,27.46,14.7,0.2,8.2,4.5,1.0,1.0,2.2,27.5
Zion Williamson,NOP,DAL@NOP,26.73,19.3,0.1,5.9,3.4,1.2,0.7,1.9,28.7
Jordan Poole,NOP,DAL@NOP,26.40,15.5,2.4,2.1,3.7,1.0,0.4,1.7,21.3
Herbert Jones,NOP,DAL@NOP,26.10,9.4,1.2,3.6,2.2,1.6,0.3,1.5,15.1
Jeremiah Fears,NOP,DAL@NOP,23.99,13.1,0.8,3.1,2.6,1.2,0.1,2.0,18.8
Jose Alvarado,NOP,DAL@NOP,19.99,7.1,1.4,2.5,2.9,0.9,0.2,1.2,12.5
Karlo Matkovic,NOP,DAL@NOP,15.14,5.4,0.3,4.3,1.0,0.4,0.9,0.8,10.7
Micah Peavy,NOP,DAL@NOP,10.45,3.3,0.3,1.5,0.6,0.3,0.1,0.4,5.4
Yves Missi,NOP,DAL@NOP,1.69,0.5,0.0,0.5,0.1,0.0,0.1,0.1,1.1
Bryce McGowens,NOP,DAL@NOP,0.76,0.3,0.0,0.1,0.1,0.0,0.0,0.0,0.4
Jordan Hawkins,NOP,DAL@NOP,0.76,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.4
Kevon Looney,NOP,DAL@NOP,0.76,0.2,0.0,0.3,0.1,0.0,0.0,0.0,0.5
DeAndre Jordan,NOP,DAL@NOP,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shai Gilgeous-Alexander,OKC,MEM@OKC,32.63,31.7,2.2,5.8,6.2,1.4,0.7,1.9,43.7
Jalen Williams,OKC,MEM@OKC,30.94,20.1,1.2,6.6,5.4,1.6,0.7,1.9,32.1
Cason Wallace,OKC,MEM@OKC,27.06,7.9,1.4,3.7,2.2,2.4,0.3,1.3,13.8
Ajay Mitchell,OKC,MEM@OKC,25.59,12.8,1.1,4.0,3.3,1.4,0.3,1.7,20.1
Luguentz Dort,OKC,MEM@OKC,25.22,7.8,1.8,4.2,1.2,0.8,0.4,0.9,13.2
Aaron Wiggins,OKC,MEM@OKC,22.36,11.4,2.0,4.0,1.6,0.7,0.3,1.1,17.0
Branden Carlson,OKC,MEM@OKC,22.29,9.8,1.3,6.1,1.2,0.4,1.6,0.7,17.1
Isaiah Joe,OKC,MEM@OKC,21.36,10.8,2.5,3.3,1.5,0.6,0.1,1.0,15.6
Kenrich Williams,OKC,MEM@OKC,21.36,7.7,1.1,5.3,2.4,0.7,0.2,1.1,15.4
Brooks Barnhizer,OKC,MEM@OKC,9.10,2.6,0.1,2.1,0.6,0.3,0.1,0.3,5.3
Chris Youngblood,OKC,MEM@OKC,2.71,0.8,0.2,0.4,0.3,0.1,0.0,0.1,1.5
Nikola Topic,OKC,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,OKC,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chet Holmgren,OKC,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ousmane Dieng,OKC,MEM@OKC,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paolo Banchero,ORL,ORL@GSW,35.31,25.2,1.5,8.8,4.6,0.8,0.7,2.5,38.6
Desmond Bane,ORL,ORL@GSW,35.19,21.7,2.2,4.7,4.7,0.8,0.4,2.5,31.1
Anthony Black,ORL,ORL@GSW,33.40,15.9,1.3,4.5,3.9,1.4,0.7,2.6,24.3
Wendell Carter Jr.,ORL,ORL@GSW,31.09,12.2,1.1,7.9,1.9,0.8,0.7,1.6,22.1
Tristan da Silva,ORL,ORL@GSW,24.66,10.0,1.6,4.1,1.3,0.9,0.2,1.3,15.4
Tyus Jones,ORL,ORL@GSW,18.43,3.4,0.7,1.3,3.1,0.7,0.1,0.8,7.7
Goga Bitadze,ORL,ORL@GSW,17.49,5.1,0.1,5.3,1.4,0.7,1.3,0.9,11.8
Jase Richardson,ORL,ORL@GSW,14.72,6.8,0.9,1.8,1.5,0.4,0.0,0.7,10.1
Jett Howard,ORL,ORL@GSW,10.20,4.0,0.8,1.2,0.6,0.2,0.2,0.5,5.8
Noah Penda,ORL,ORL@GSW,9.98,4.0,0.4,3.3,0.9,0.3,0.3,0.4,8.1
Jonathan Isaac,ORL,ORL@GSW,9.63,2.6,0.3,2.9,0.3,0.5,0.6,0.5,5.8
Jamal Cain,ORL,ORL@GSW,0.88,0.3,0.0,0.1,0.0,0.0,0.0,0.1,0.5
Orlando Robinson,ORL,ORL@GSW,0.88,0.3,0.0,0.2,0.1,0.0,0.0,0.0,0.6
Jalen Suggs,ORL,ORL@GSW,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franz Wagner,ORL,ORL@GSW,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deni Avdija,POR,DET@POR,35.08,24.4,2.1,7.3,7.1,0.7,0.6,3.8,38.7
Toumani Camara,POR,DET@POR,33.68,13.1,2.8,5.3,2.7,1.2,0.6,2.3,21.1
Jerami Grant,POR,DET@POR,33.23,19.5,2.7,3.9,3.1,0.8,0.8,2.6,26.4
Shaedon Sharpe,POR,DET@POR,32.85,25.2,2.1,4.5,3.1,1.6,0.3,3.3,32.7
Donovan Clingan,POR,DET@POR,27.34,9.9,0.8,10.5,2.2,0.6,1.8,1.5,22.6
Sidy Cissoko,POR,DET@POR,24.30,6.3,1.1,2.6,1.8,0.7,0.3,1.2,10.7
Kris Murray,POR,DET@POR,24.00,4.8,0.5,3.7,1.2,1.1,0.4,1.2,9.6
Robert Williams,POR,DET@POR,17.57,6.0,0.2,6.1,1.1,0.8,1.8,0.9,13.2
Caleb Love,POR,DET@POR,7.88,3.9,0.7,1.0,1.0,0.2,0.0,0.5,5.9
Rayan Rupert,POR,DET@POR,2.91,0.7,0.1,0.5,0.1,0.1,0.0,0.2,1.4
Duop Reath,POR,DET@POR,1.94,0.7,0.2,0.3,0.1,0.0,0.1,0.1,1.1
Hansen Yang,POR,DET@POR,1.01,0.5,0.1,0.3,0.1,0.0,0.0,0.1,0.8
Scoot Henderson,POR,DET@POR,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Wesley,POR,DET@POR,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,POR,DET@POR,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keyonte George,UTA,UTA@DEN,34.17,23.4,2.4,3.9,6.3,0.8,0.2,3.1,33.6
Lauri Markkanen,UTA,UTA@DEN,33.24,25.0,2.2,6.4,1.8,0.9,0.3,1.7,33.2
Ace Bailey,UTA,UTA@DEN,28.66,13.7,2.0,3.9,1.8,0.8,0.4,1.4,19.4
Kyle Filipowski,UTA,UTA@DEN,25.98,11.1,1.0,7.2,2.2,0.6,0.5,1.5,20.5
Isaiah Collier,UTA,UTA@DEN,25.13,9.2,0.4,2.6,6.9,0.8,0.3,2.2,18.7
Jusuf Nurkic,UTA,UTA@DEN,24.54,9.8,0.3,9.2,3.7,1.4,0.5,2.2,22.7
Svi Mykhailiuk,UTA,UTA@DEN,23.60,7.8,1.7,2.4,1.9,0.4,0.1,1.3,12.1
Brice Sensabaugh,UTA,UTA@DEN,17.38,9.7,1.7,2.6,1.3,0.6,0.1,1.0,13.5
Taylor Hendricks,UTA,UTA@DEN,12.74,4.0,0.5,2.7,0.4,0.4,0.4,0.6,7.2
Walter Clayton Jr.,UTA,UTA@DEN,10.92,4.0,0.7,1.3,1.8,0.3,0.1,0.8,7.2
Kyle Anderson,UTA,UTA@DEN,2.95,1.1,0.0,0.5,0.5,0.1,0.1,0.1,2.1
Cody Williams,UTA,UTA@DEN,1.56,0.4,0.0,0.1,0.1,0.0,0.0,0.1,0.6
Georges Niang,UTA,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walker Kessler,UTA,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin Love,UTA,UTA@DEN,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
